,review_title,reviewers_name,review_body,star_rating,review_date,helpful_votes
0,One of the best smartphones available as for 2024.,Placeholder,"Booked my 12+512gb version as soon as it was launched. And after using it for more than a month, here's my review.Pros1) exceptional camera quality. The 12MP ultra-wide does it's job and I would say going for 5x optical zoom with 50MP sensor instead for 10x 10MP sensor is a better choice as upto 30x I would say the pictures are more crisp than S23 ultra.2) Build quality is premium. It feels like a high budget smartphone. Not sure if titanium armor is enough to withstand high drop possibilities, but it does make it lighter.3) Screen is a big improvement. The anti reflective Corning Gorilla glass armor does it's job and reflects most of the glare so you can sit easily and watch without worrying if the person sitting next to you is watching coz they can't. 😁3) S-pen has improved a bit. A lot of people are saying that they don't use it much after first time, but that's not the case with me. If you will get the hang of it, you will use it quite often.4) AI interface is quite excellent. Although in initial phase, it does it's job in notes and summarising big pages so that you can easily get the gist.5) 7 years OS and security update is a big big up from my side.6) The box like built rather than a curve display is a better choice. It's easier to find a screen protector.7) sanpdragan 8 gen3 is fast. You can play high end games at maximum capacity. Android 14 with one UI 6 is smooth as you can hope it would be. I haven't recorded any lags or heating issues as for now.Cons1) Anti refective display works until you put  the above mention screen protector. After that it won't work with that precision. Although it still does it's job.2) Selfie camera is still not that great if you're using iPhone 14 or 15 pro.3) generative AI is not that great in calls and photo editing. Also, to pay for these services after 2025 is a big drawback from Samsung.4) Samsung is still not implementing faster charging protocols on their high and mid range smartphones. In a time when OnePlus is offering 100W charging speeds and xiomi offering 50-80W wireless charging, Samsung is still stuck with 45W and 15W wireless charging. Big drawback. However, battery do last for a full day.5) speaking of charging, no charger included is a serious letdown when you're spending more than a lac on a high end smartphone. Samsung, it doesn't feels good. 😔Overall, a good smartphone if you're thinking to go for a big one for a long time.",5.0,8 March 2024,170
1,Powerhouse s24 ultra,Ankita,"First of all i was a iphone 12 user i switched to s24ultra. i was looking for a upgrade in terms of camera software display. I had only two phones selected iphone 15 promax amd s24 ultra. S24u was costing me 80k with all offers whereas 15promx 1.26lakh  so went for s24uNow s24 using since 1monthAndroid 14 ui 6 is powerfulDisplay is awesome flat screen looks wonderfulProcessor is fastFingerprint sensor is goodCamera quality is great zoom portrait 3x 5x is very goodBattery gives 18hrs backup easily with 8-9 hrs of screentimeS pen is awesome making notes is so much funAI features are really helpful and it works flawlessly its something to experienceNot to likeWeight of the phoneTwo handed use since its a big phoneSize in pocket feels uncomfortable due to sharp cornersSecurity when compared to iphone is not great iphone is another level when comes to securityWeight and size made me rethink about my decision but now bit used to but still miss my iphone ease of use eg to take selfie its very cumbersome to use of Weight and sizeProfessional Summary:I recently transitioned from an iPhone 12 to the Samsung S24 Ultra, seeking an upgrade in terms of camera quality, software, and display. After careful consideration, I chose the S24 Ultra over the iPhone 15 Pro Max due to its more favorable price point.Observations after one month of usage:1. Android 14 UI 6: The user interface is robust and powerful, providing a seamless user experience.2. Display: The flat screen offers excellent visual quality and clarity.3. Processor: The device's processor delivers fast and efficient performance.4. Fingerprint Sensor: The fingerprint sensor functions effectively and reliably.5. Camera Quality: The camera system, particularly the zoom and portrait modes, produces impressive results.6. Battery Life: The battery provides exceptional longevity, supporting up to 18 hours of usage with extensive screen time.7. S Pen: The S Pen stylus enhances productivity and creativity, making note-taking and other tasks enjoyable.8. AI Features: The device's AI capabilities are highly effective and provide valuable assistance.Areas for Improvement:1. Weight: The weight of the phone can be cumbersome and may require two-handed usage.2. Size: The large size of the phone can be uncomfortable to carry in pockets due to its sharp corners.3. Security: Compared to the iPhone, the S24 Ultra's security features may be perceived as less robust.While the weight and size initially raised concerns, I have gradually adapted to these aspects. However, I occasionally miss the ease of use offered by my previous iPhone, particularly when taking selfies due to the weight and size constraints.Overall, the Samsung S24 Ultra offers a compelling combination of features and capabilities, making it a worthwhile upgrade for those seeking a powerful and versatile smartphone.",5.0,17 May 2024,4
2,Flagship is Flagship ?,WRITZ,"In a simple word,Display - 9.5/10 (If you want to exploit the latest anti reflection coating you must not apply Tempered glass)Battery - 8/10 (Overall Good)Processor - 9/10 (fast enough)UI - 10/10 (Too many customization)Fast Charging - 8/10Fingerprint Sensor -9/10 if no tempered glass (used for a very little span of time as attached tempered glass after a day)6/10 if tempered glass attached (most people use tempered glass)Haptics - 7/10 (Not too good, expected more)Loud Speaker - 8/10 (Quite Loud, crystal clear, good separation of frequencies)Earphone Output - 9/10 (Undoubtedly one of the best in the segment)SPen - 8/10 (Not too useful in daily life for a normal user)Galaxy AI - 7/10 (Used circle to search, Photo Edit features etc mostly)Build Quality - 8.5/10 (A perfectly weight balanced phone, premium material, matte glass back beautiful)=====Camera =====(Both photo and video)Main Lens - 8.5/10Ultra Wide Lens - 8.5/103X Zoom Lens - 7/10 (Poor Low Light performance)5X Zoom Lens - 9.5/10Flash Intentity - 7/10 (Expected more from a flagship phone)Stabilazation - 9/10SlowMo - 8.5/10Fast moving object shoot - 7/10Front Camera - 9.5/10Cons:1. At darkeness minimum brightness is too high.2. Phone gets pretty warm (38 - 42 deg Cel) while using 5G, Camera continuously.3. Camera app Unnecessarily boosts the images sometime, mostly low light photos, thus ruins the natural color and tone.4. No pro mode after 10x zoom.5. Expert RAW app is not very user friendly.6. Most annoying is the fingerprint scanner after applying the tempered glass.Overall Rating - 8.5/10",5.0,4 May 2024,16
3,Good display & features but price is very high,Amazon Customer,"Good display & features, but price is very high, (mobiles we should buy below 40k only since all features are almost same) this phone looks premium than iphone. It's value for money compared to iPhone but not vfm if compared with other android. Battery is getting drained if we don't make proper setting to apps sleep. Feels bulky particularly when removing from pocket while receiving calls.",4.0,7 March 2024,31
4,One of the most excellent smartphone,Akash Borse,"The device has proven to be a remarkable technological advancement, offering exceptional performance and user satisfaction. Since its initial release, I have personally utilized it and can attest to its seamless operation and rapid processing speed. Additionally, the audio quality is commendable, and the camera captures stunning images. The integration of AI features further enhances its capabilities, making it a truly remarkable device. However, the battery life could be improved to provide a more extended usage time.",5.0,9 May 2024,3
5,Never Order Expensive Phones from Amazon,Rave,"The service centre says the reason why my lower inside speaker is making a mettalic sound is because the phone was used roughly! A month in i noticed the issue, cause weird sound issues is not something one grabs right off the bat.Going back to the day the phone was delivered. The packaging was like that of a bar of soap, just a couple of thin layer of pop wrap. It was so beat up, that the delivery man couldnt belive me when i told him inside is one of the most expensive phones available.I opened it in front of him just in case.Amazon you have started to take your loyal cutomers for granted. Thank you for all the pain and hassale. I will never forgive your bad excuse for a company for this.",1.0,7 May 2024,7
6,Most powerful phone in this planet,Ankit sahu,"1) battery  life is crazy good2)Al is wonderful,interpreter,live translate,Good lock customisation and circle to search.3)samsung  is already master in Making screen.4) Camera is fantastic 👌 and its editing features colab with AI.In last JUST GO FOR IT ""ITS A BEAST""",5.0,21 April 2024,10
7,Soooo good!,Niyas Ahamed,"Great Product looking premium very good performance battery life is normal, may be two or three times to charge a day charging is slow, taking 1hr to 1hr15mins to fully charge, heating issue is there. Otherwise amazing mobile from samsung",5.0,10 April 2024,14
8,About s24 ultra,Placeholder,It's Performance is much better than a iPhone and the heating is there but it's because of the temperature in your surrounding,4.0,15 May 2024,0
9,AI is awesome features,Placeholder,everything is perfect till now purchased one month ago,5.0,21 May 2024,0
